wordnet_synset,imagenet_synset
hog.n.03,hog.n.03
train.n.01,train.n.01
bus.n.01,bus.n.01
cow.n.01,cow.n.01
trouser.n.01,trouser.n.01
short_pants.n.01,short_pants.n.01
carrot.n.01,carrot.n.03
shoe.n.01,shoe.n.01
sandal.n.01,sandal.n.01
orange.n.01,orange.n.01
bicycle.n.01,bicycle.n.01
motorcycle.n.01,motorcycle.n.01
dog.n.01,dog.n.01
car.n.01,car.n.01
truck.n.01,truck.n.01
apple.n.01,apple.n.01
shirt.n.01,shirt.n.01
vest.n.01,vest.n.01
cat.n.01,cat.n.01
dress.n.01,dress.n.01
sweater.n.01,sweater.n.01
egg.n.02,egg.n.02
airplane.n.01,airplane.n.01
rocket.n.01,rocket.n.01
hippopotamus.n.01,hippopotamus.n.01
elk.n.01,elk.n.01
boat.n.01,boat.n.01
celery.n.02,celery.n.02
beet.n.02,beet.n.02
fox.n.01,fox.n.01
strawberry.n.01,strawberry.n.01
raccoon.n.02,raccoon.n.02
cake.n.03,patty.n.01
pie.n.01,NONE
