word,count
chicken,567
hat,1004
picnic,76
people,753
ladder,95
ride,428
child,208
dog's,62
table,898
chair,1530
boy,2171
dog,1212
girl,1730
ball,2439
baby,5316
car,2049
bed,889
person,103
mommy,1142
nightie_nightie,1
step,86
ground,86
puppy,394
square,115
outside,40
box,1646
home,1417
moment,40
yellow,394
green,520
orange,336
tower,171
door,788
house,1669
guy,446
cooker,12
fun,336
sweetheart,261
block,832
bead,123
sponge,31
outlet,5
honey,878
few,229
minute,971
thing,2504
lady,393
gramma,5
top,734
hole,375
circle,279
turn,614
cup,1048
red,580
fit,108
shape,112
rectangle,20
cylinder,4
triangle,99
push,266
side,359
bunk,11
night_night,147
doggie,686
lounge,4
morning,345
tail,291
noise,456
way,1504
watch,534
back,679
babe,31
round,40
doll,861
kid,298
mama,234
ouch,117
break,39
show,235
knock,37
stair,122
help,365
while,268
blue,426
white,142
stack,24
move,87
color,1120
bedroom,86
toy,1973
basketball,29
basket's,3
high,101
basket,234
point,86
truck,1058
play,1195
food,1441
plate,416
right,838
place,279
bit,726
drive,48
time,1609
man,783
daddy,841
store,304
cowboy,74
grill,15
dinner,445
floor,632
repeat,4
fire,240
hotdog,85
hamburger,207
platter,2
bench,32
set,91
dress,170
walk,186
bite,346
salad,64
pie,201
kind,1040
lid,109
flat,20
peek,50
piece,839
dance,86
juice,1775
car's,24
farmer,63
horseback,1
rooster,190
doggy,350
steak,27
hide,41
bean,280
bag,575
crouch,2
teacher,51
tea,239
milk,951
dolly,423
park,125
swing,108
chickie,33
chick,96
egg,590
breakfast,374
bummer,3
hum,223
arm,284
knee,178
finger,580
water,1104
dad,72
foot,1384
toe,235
driver's,2
seat,234
accident,36
pyramid,2
roll,66
stuff,837
second,207
birdie,213
sleep,130
slide,215
bird,901
duck,1260
nap,246
thank_you,437
meat,207
crash,44
object,17
toughie,2
room,632
work,292
tissue,73
job,545
family,76
rest,227
might,37
barbecue,16
twin,6
backyard,26
daddy's,110
night,519
couch,111
window,282
front,228
fireman,71
siren,15
firetruck,36
squeeze,18
hose,38
bucket,74
ax,4
bunnyrabbit,48
pillow,162
frankfurter,1
pottie,71
doggie's,51
mom,95
school,521
beach,111
need,127
end,298
puzzle,475
hiccup,20
baby's,318
driver,68
batter,11
pitcher,47
lunch,547
bottom,179
middle,79
lawn,9
duckie,166
cold,208
button,397
country,21
dollhouse,6
playhouse,4
food's,7
dish,110
cake,288
chocolate,233
cranberry,11
cream,356
hand,1347
mind,57
mine,85
mine's,23
people's,18
quiet,85
guess,157
couple,164
size,89
brother,250
face,564
cookout,1
sister's,17
mouth,1183
trip,46
chicken's,7
lie,67
garage,115
momma,20
cook,100
head,903
hold,218
mom's,8
tummy,165
kleenex,30
nose,975
somewhere,64
special,58
spaceship,7
count,33
match,50
ice,406
lady's,27
honeybun,3
seven_up,13
sir,31
day,646
chaise,1
kid's,2
bowl,326
rain's,1
furniture,17
trouble,98
straight,28
friend,325
grocery,59
toast,227
snack,161
alligator,100
lion,306
bread,380
butter,222
drink,360
napkin,248
candy,114
cane,12
cracker,308
sticky,93
washcloth,18
pop,211
shoe,1805
seed,48
spot,155
medicine,83
matter,226
cough,47
welcome,9
part,490
pile,61
sudden,17
life,142
snow,183
tree,545
bear,876
pine,16
town,40
name,1095
glass,274
book,3956
machine,152
university,12
hallway,7
eggnog,39
lot,800
whole,254
bib,86
moustache,5
peanutbutter,227
sandwich,319
frog,298
cookie,1282
half,137
icing,10
cooky,504
mess,231
fast,60
week,163
lift,17
ski,3
sled,45
mitten,81
soda,48
game,292
crumb,40
m_and_ms,5
picture,975
turtle,168
talk,201
ring,232
bracelet,28
necklace,53
raisin,144
banana,342
blanket,331
flower,536
crib,78
booster,12
diaper,455
word,474
pretzel,52
stick,152
camera,156
teeth,275
bone,51
pig,641
number,163
taste,115
supper,103
circus,57
animal,1655
monkey,470
clown,262
scare,10
ear,436
policeman,85
frosting,18
airport,39
rag,5
apple,762
inside,50
graham,30
cat's,35
cupboard,16
darn,3
bar,33
sucker,12
pumpkin,113
idea,299
tongue,199
eye,953
doggy's,21
wheat,8
kitty,1250
cheese,844
teddy,168
kittycat,116
party,220
rice,79
knife,92
peanutbutter's,3
closet,48
tangerine,4
coffee,470
favorite,288
peanut,129
bat,60
monster,165
hulk,48
movie,88
chip,83
pot,360
saucer,9
cloth,32
wipe,45
coke,22
tv,148
tray,43
marble,19
pizza,661
pizza's,4
refrigerator,104
oven,71
light,348
pimento,1
sip,19
piggy,260
muffin,222
counter,35
toaster,14
butter's,3
sillybilly,2
jump,221
shell,53
root,21
beer,40
love,163
lemon,60
tuna,101
fat,54
cat,691
penny,125
pancake,36
gross,13
sauce,37
sausage,6
blow,122
yum,450
yogurt,59
vanilla,29
spoon,977
wind,31
hair,998
light's,4
nut,89
cheek,53
jeep,65
jeep's,1
story,588
rabbit,384
snowman,109
tear,27
drop,10
boot,201
carrot,239
hammer,168
roof,89
smile,38
feather,26
rabbit's,28
moon,297
page,527
neck,116
coat,154
slope,1
black,193
last,149
bunny,1038
weather,15
vane,11
scarf,34
wood,116
bow,58
snowman's,6
leaf,90
peep,21
pee_pee,41
bird's,12
glove,39
sneaker,49
pocketbook,94
beak,12
wing,81
bunnyrabbit's,4
board,68
nail,60
birdie's,11
fair,23
sun,142
course,87
cap,23
hill,50
year,199
air,126
bunny's,57
owl,162
mother,246
well,255
least,57
can,188
color's,90
sound,170
garden,65
clue,4
attention,43
question,144
sock,414
shirt,451
hug,294
building,96
bottle,830
answer,26
gun,86
igloo,3
snowsuit,2
echo,3
version,23
everywhere,49
farm,352
jacket,141
peak,6
paint,49
horsie,380
beginning,42
lap,181
horse,810
boat,296
kiss,410
butterfly,103
balloon,286
boo,225
hello,116
telephone,273
dada,61
phone,298
comb,155
brush,268
smell,58
laugh,23
tickle,154
whats,217
nerve,2
breeze,5
puppet,214
call,61
zipper,84
kiddo,7
quack,243
kitty_kitty,4
pocket,176
sister,234
sissie,4
destruction,2
baba,27
fishie,17
piggie,96
mommy's,200
doghouse,9
being,75
reason,76
cow,917
knot,27
goat,156
camel,74
cause,307
fish,542
squirrel,100
squirrel's,7
multitude,1
hamster,50
stage,9
month,131
pushbutton,2
situation,12
bug,252
kitty's,44
chomp,2
suspender,7
dragon,134
tongue'll,1
space,49
key,361
bug's,12
mommy'll,7
icecream,525
brain,18
moocow's,2
boy's,79
vacuum,43
cleaner,31
soup,346
mother's,29
bum,9
earphone,8
mouse,380
elephant,497
whoop,57
zebra,378
snap,53
shoelace,14
clothes,403
paper,884
ukelele,3
umbrella,115
crayon,585
mirror,241
whisker,26
wall,144
puppy's,8
cage,84
rat,26
rocker,6
rosies,1
mousie,23
pant,227
rose,16
rosie,23
plenty,22
kettle,3
posy,15
hopscotch,3
muppet,2
shoulder,34
tie,30
dolphin,84
whale,77
kitten,187
raccoon,40
squeak,66
block's,2
bridge,117
strap,8
leash,9
street,140
growl,4
vacation,38
pup,5
kite,28
steam,10
cereal,228
engine,133
crane,14
snowblower,1
uncle,29
mike,26
abc,57
ant,45
sky,118
airplane,361
bath,217
bubble,187
aunt,19
drum,94
parade,29
microphone,288
tape,568
record,81
song,302
castle,63
poppy,11
pole,15
unicorn,12
jelly,69
jello,24
bet,15
turtle's,6
crocodile,11
highchair,61
doctor,178
thumb,82
sort,182
yarn,26
daisy,10
scissors,65
peach,133
o'clocks,1
dirt,59
mug,9
mush,48
aquarium,48
pat,22
tick,55
clock,213
stroller,67
river,24
iron,51
cube,22
jar,55
letter,310
marshmallow,4
onion,20
paste,3
piggybank,3
pink,132
quilt,6
rock,179
train,649
trike,3
tricycle,31
utensil,32
valentine,67
wagon,120
xylophone,22
yolk,4
yawn,11
fan,31
mass,2
pike,2
baseball,56
ducky,40
mealtime,1
pear,105
alphabet,22
boo_boo,79
