wordnet_synset,imagenet_synset
airplane.n.01,airplane.n.01
airship.n.01,airship.n.01
alligator.n.02,alligator.n.02
american_bison.n.01,american_bison.n.01
animal.n.01,animal.n.01
ant.n.01,ant.n.01
apple.n.01,apple.n.01
applesauce.n.01,applesauce.n.01
aunt.n.01,aunt.n.01
baby.n.01,child.n.03
baby_buggy.n.01,baby_buggy.n.01
bag.n.04,bag.n.04
ball.n.01,ball.n.01
balloon.n.01,balloon.n.01
balloon.n.02,balloon.n.01
banana.n.02,banana.n.02
barrow.n.03,barrow.n.03
basement.n.01,basement.n.01
basket.n.01,basket.n.01
bat.n.01,bat.n.01
bath.n.01,bath.n.01
bathroom.n.01,bathroom.n.01
bathtub.n.01,bathtub.n.01
beach.n.01,beach.n.01
bean.n.01,bean.n.01
bear.n.01,bear.n.01
beaver.n.07,beaver.n.07
bed.n.01,bed.n.01
bedroom.n.01,bedroom.n.01
bee.n.01,bee.n.01
beer.n.01,beer.n.01
belt.n.02,belt.n.02
bench.n.01,bench.n.01
beverage.n.01,beverage.n.01
bicycle.n.01,bicycle.n.01
bird.n.01,bird.n.01
bite.n.04,bite.n.04
black.n.01,black.n.01
blanket.n.01,blanket.n.01
block.n.03,block.n.03
blue.n.01,blue.n.01
boat.n.01,boat.n.01
book.n.01,book.n.07
boot.n.01,boot.n.01
bottle.n.01,bottle.n.01
bowl.n.01,bowl.n.01
box.n.01,box.n.01
bracelet.n.02,bracelet.n.02
breakfast.n.01,breakfast.n.01
broom.n.01,broom.n.01
brush.n.02,brush.n.02
bubble.n.01,bubble.n.01
bucket.n.01,bucket.n.01
bug.n.01,bug.n.01
bulge.n.01,bulge.n.01
bulldozer.n.01,bulldozer.n.01
bunny.n.02,bunny.n.02
bus.n.01,bus.n.01
business_district.n.01,business_district.n.01
butter.n.01,butter.n.01
butterfly.n.01,butterfly.n.01
button.n.01,button.n.01
cable_car.n.01,cable_car.n.01
cake.n.03,patty.n.01
camel.n.01,camel.n.01
camera.n.01,camera.n.01
camping.n.01,camping.n.01
can.n.01,can.n.01
candy.n.01,candy.n.01
car.n.01,car.n.01
caribou.n.01,caribou.n.01
carrot.n.03,carrot.n.03
cassette.n.01,cassette.n.01
cat.n.01,cat.n.01
catsup.n.01,catsup.n.01
centipede.n.01,centipede.n.01
chair.n.01,chair.n.01
chamberpot.n.01,chamberpot.n.01
cheese.n.01,cheese.n.01
cherry.n.03,cherry.n.03
chewing_gum.n.01,chewing_gum.n.01
chicken.n.02,chicken.n.02
child.n.01,child.n.01
chip.n.04,chip.n.04
chipmunk.n.01,chipmunk.n.01
chocolate.n.03,chocolate.n.03
church.n.02,church.n.02
circle.n.01,circle.n.01
clock.n.01,clock.n.01
cloud.n.02,cloud.n.02
clown.n.02,clown.n.02
coat.n.01,coat.n.01
coca_cola.n.01,coca_cola.n.01
cock.n.04,cock.n.04
coffee.n.01,coffee.n.01
comb.n.01,comb.n.01
corn.n.01,corn.n.01
cow.n.01,cow.n.01
coyote.n.01,coyote.n.01
crab.n.01,crab.n.01
cracker.n.01,cracker.n.01
crayon.n.01,crayon.n.01
crib.n.01,crib.n.01
crown.n.04,crown.n.04
cup.n.01,cup.n.01
cupboard.n.01,cupboard.n.01
dad.n.01,dad.n.01
dance.n.02,dance.n.02
deer.n.01,deer.n.01
diaper.n.01,diaper.n.01
dinner.n.01,dinner.n.01
dish.n.01,dish.n.01
doctor.n.01,doctor.n.01
doe.n.02,doe.n.02
dog.n.01,dog.n.01
doll.n.01,doll.n.01
dome.n.04,dome.n.04
domestic_ass.n.01,domestic_ass.n.01
door.n.01,door.n.01
doughnut.n.02,doughnut.n.02
drawer.n.01,drawer.n.01
dress.n.01,dress.n.01
dressing.n.01,dressing.n.01
drink.n.01,beverage.n.01
dryer.n.01,dryer.n.01
duck.n.01,duck.n.01
dwelling.n.01,dwelling.n.01
egg.n.02,egg.n.02
elephant.n.01,elephant.n.01
elk.n.01,elk.n.01
ellipse.n.01,ellipse.n.01
face.n.01,face.n.05
fire_engine.n.01,fire_engine.n.01
firefly.n.01,firefly.n.01
fireman.n.04,fireman.n.04
fish.n.01,fish.n.01
flag.n.01,flag.n.01
flower.n.01,flower.n.01
fly.n.01,fly.n.01
food.n.01,food.n.01
foot.n.01,foot.n.11
fork.n.01,fork.n.03
fox.n.01,fox.n.01
