source_id,production_word,production_wordnet,production_imagenet,sense_word,sense_wordnet,sense_imagenet
rescorla_1976,airplane,airplane.n.01,airplane.n.01,boat,boat.n.01,boat.n.01
rescorla_1976,airplane,airplane.n.01,airplane.n.01,glider,glider.n.01,glider.n.01
rescorla_1976,airplane,airplane.n.01,airplane.n.01,helicopter,helicopter.n.01,helicopter.n.01
rescorla_1976,airplane,airplane.n.01,airplane.n.01,rocket,rocket.n.01,rocket.n.01
rescorla_1976,airplane,airplane.n.01,airplane.n.01,submarine,submarine.n.01,submarine.n.01
rescorla_1976,airplane,airplane.n.01,airplane.n.01,train,train.n.01,train.n.01
thomson_1977,apple,apple.n.01,apple.n.01,artichoke,artichoke.n.01,artichoke.n.01
thomson_1977,apple,apple.n.01,apple.n.01,ball,ball.n.01,ball.n.01
rescorla_1976,apple,apple.n.01,apple.n.01,balloon,balloon.n.02,balloon.n.01
rescorla_1981,apple,apple.n.01,apple.n.01,banana,banana.n.02,banana.n.02
thomson_1977,apple,apple.n.01,apple.n.01,cherry,cherry.n.03,cherry.n.03
rescorla_1976,apple,apple.n.01,apple.n.01,egg,egg.n.02,egg.n.02
rescorla_1976,apple,apple.n.01,apple.n.01,fruit,fruit.n.01,fruit.n.01
rescorla_1981,apple,apple.n.01,apple.n.01,grape,grape.n.01,grape.n.01
rescorla_1981,apple,apple.n.01,apple.n.01,lemon,lemon.n.01,lemon.n.01
rescorla_1981,apple,apple.n.01,apple.n.01,melon,melon.n.01,melon.n.01
thomson_1977,apple,apple.n.01,apple.n.01,onion,onion.n.01,onion.n.01
thomson_1977,apple,apple.n.01,apple.n.01,orange,orange.n.01,orange.n.01
rescorla_1981,apple,apple.n.01,apple.n.01,orange juice,orange_juice.n.01,orange_juice.n.01
thomson_1977,apple,apple.n.01,apple.n.01,peach,peach.n.03,peach.n.03
thomson_1977,apple,apple.n.01,apple.n.01,pear,pear.n.01,pear.n.01
rescorla_1981,apple,apple.n.01,apple.n.01,plum,plum.n.02,plum.n.02
thomson_1977,apple,apple.n.01,apple.n.01,pumpkin,pumpkin.n.02,pumpkin.n.02
thomson_1977,apple,apple.n.01,apple.n.01,strawberry,strawberry.n.01,strawberry.n.01
thomson_1977,apple,apple.n.01,apple.n.01,teapot,teapot.n.01,teapot.n.01
thomson_1977,apple,apple.n.01,apple.n.01,tomato,tomato.n.01,tomato.n.01
barrett_1978,baby,baby.n.01,child.n.03,child,child.n.01,child.n.01
clark_1973,baby,baby.n.01,child.n.03,statue,statue.n.01,statue.n.01
clark_1973,ball,ball.n.01,ball.n.01,apple,apple.n.01,apple.n.01
barrett_1978,ball,ball.n.01,ball.n.01,balloon,balloon.n.02,balloon.n.01
rescorla_1976,ball,ball.n.01,ball.n.01,button,button.n.01,button.n.01
thomson_1977,ball,ball.n.01,ball.n.01,circle,circle.n.01,circle.n.01
barrett_1978,ball,ball.n.01,ball.n.01,dome,dome.n.04,dome.n.04
rescorla_1976,ball,ball.n.01,ball.n.01,egg,egg.n.02,egg.n.02
rescorla_1976,ball,ball.n.01,ball.n.01,grapefruit,grapefruit.n.02,grapefruit.n.02
thomson_1977,ball,ball.n.01,ball.n.01,green pepper,green_pepper.n.01,green_pepper.n.01
thomson_1977,ball,ball.n.01,ball.n.01,helmet,helmet.n.01,helmet.n.01
barrett_1978,ball,ball.n.01,ball.n.01,marble,marble.n.02,marble.n.02
thomson_1977,ball,ball.n.01,ball.n.01,onion,onion.n.01,onion.n.01
rescorla_1976,ball,ball.n.01,ball.n.01,orange,orange.n.01,orange.n.01
thomson_1977,ball,ball.n.01,ball.n.01,oval,ellipse.n.01,ellipse.n.01
rescorla_1976,ball,ball.n.01,ball.n.01,peach,peach.n.03,peach.n.03
clark_1973,ball,ball.n.01,ball.n.01,radish,radish.n.01,radish.n.01
thomson_1977,ball,ball.n.01,ball.n.01,squash,squash.n.02,squash.n.02
clark_1973,ball,ball.n.01,ball.n.01,toy,plaything.n.01,toy.n.03
thomson_1977,banana,banana.n.02,banana.n.02,apple,apple.n.01,apple.n.01
thomson_1977,banana,banana.n.02,banana.n.02,cherry,cherry.n.03,cherry.n.03
rescorla_1976,banana,banana.n.02,banana.n.02,fruit,fruit.n.01,fruit.n.01
thomson_1977,banana,banana.n.02,banana.n.02,lemon,lemon.n.01,lemon.n.01
thomson_1977,banana,banana.n.02,banana.n.02,orange,orange.n.01,orange.n.01
thomson_1977,banana,banana.n.02,banana.n.02,peach,peach.n.03,peach.n.03
rescorla_1981,banana,banana.n.02,banana.n.02,pear,pear.n.01,pear.n.01
rescorla_1981,banana,banana.n.02,banana.n.02,raisin,raisin.n.01,raisin.n.01
thomson_1977,banana,banana.n.02,banana.n.02,strawberry,strawberry.n.01,strawberry.n.01
thomson_1977,banana,banana.n.02,banana.n.02,tomato,tomato.n.01,tomato.n.01
rescorla_1976,bath,bathtub.n.01,bathtub.n.01,water,water.n.06,water.n.06
thomson_1977,bear,bear.n.01,bear.n.01,rabbit,rabbit.n.01,rabbit.n.01
thomson_1977,bear,bear.n.01,bear.n.01,seal,seal.n.09,seal.n.09
rescorla_1976,bee,bee.n.01,bee.n.01,bug,bug.n.01,bug.n.01
thomson_1977,beer,beer.n.01,beer.n.01,soy sauce,soy_sauce.n.01,soy_sauce.n.01
rescorla_1976,bike,bicycle.n.01,bicycle.n.01,motorcycle,motorcycle.n.01,motorcycle.n.01
rescorla_1976,bike,bicycle.n.01,bicycle.n.01,scooter,scooter.n.02,scooter.n.02
rescorla_1976,bike,bicycle.n.01,bicycle.n.01,tricycle,tricycle.n.01,tricycle.n.01
rescorla_1976,bike,bicycle.n.01,bicycle.n.01,wheelchair,wheelchair.n.01,wheelchair.n.01
clark_1973,bird,bird.n.01,bird.n.01,cat,cat.n.01,cat.n.01
clark_1973,bird,bird.n.01,bird.n.01,cow,cow.n.01,cow.n.01
clark_1973,bird,bird.n.01,bird.n.01,dog,dog.n.01,dog.n.01
fremgen_1980,bird,bird.n.01,bird.n.01,duck,duck.n.01,duck.n.01
barrett_1978,boat,boat.n.01,boat.n.01,airship,airship.n.01,airship.n.01
rescorla_1976,boat,boat.n.01,boat.n.01,bulldozer,bulldozer.n.01,bulldozer.n.01
rescorla_1976,boat,boat.n.01,boat.n.01,raft,raft.n.01,raft.n.01
rescorla_1976,book,book.n.01,book.n.07,magazine,magazine.n.02,magazine.n.01
rescorla_1976,bottle,bottle.n.01,bottle.n.01,cup,cup.n.01,cup.n.01
clark_1973,box,box.n.01,box.n.01,drawer,drawer.n.01,drawer.n.01
clark_1973,box,box.n.01,box.n.01,matchbox,matchbox.n.01,matchbox.n.01
rescorla_1976,box,box.n.01,box.n.01,TV,television_receiver.n.01,television_receiver.n.01
barrett_1978,boy,son.n.01,son.n.01,child,child.n.01,child.n.01
rescorla_1976,bubble,bubble.n.01,bubble.n.01,egg,egg.n.02,egg.n.02
rescorla_1976,bubble,bubble.n.01,bubble.n.01,marble,marble.n.02,marble.n.02
gruendel_1977,bunny,bunny.n.02,bunny.n.02,squirrel,squirrel.n.01,squirrel.n.01
rescorla_1976,bus,bus.n.01,bus.n.01,cable car,cable_car.n.01,cable_car.n.01
rescorla_1976,bus,bus.n.01,bus.n.01,firetruck,fire_engine.n.01,fire_engine.n.01
rescorla_1981,bus,bus.n.01,bus.n.01,train,train.n.01,train.n.01
rescorla_1981,bus,bus.n.01,bus.n.01,truck,truck.n.01,truck.n.01
rescorla_1976,butter,butter.n.01,butter.n.01,peanut butter,peanut_butter.n.01,peanut_butter.n.01
