condition,probability,response
High contrast (Early),0.9997178118478545,correct
High contrast (Early),0.00028218815214553494,error
Low contrast (Early),0.909425275552552,correct
Low contrast (Early),0.09057472444744796,error
Low contrast (Late),0.9094567386596231,correct
Low contrast (Late),0.09054326134037693,error
High contrast (Early),0.9997527943614618,correct
High contrast (Early),0.0002472056385381949,error
Low contrast (Early),0.9118396963818073,correct
Low contrast (Early),0.08816030361819271,error
Low contrast (Late),0.9118454931196623,correct
Low contrast (Late),0.08815450688033766,error
High contrast (Early),0.9996643734779848,correct
High contrast (Early),0.0003356265220152421,error
Low contrast (Early),0.6860123103163662,correct
Low contrast (Early),0.3139876896836338,error
Low contrast (Late),0.6861006682489423,correct
Low contrast (Late),0.31389933175105766,error
High contrast (Early),0.9993026234753313,correct
High contrast (Early),0.0006973765246687247,error
Low contrast (Early),0.8882215526875146,correct
Low contrast (Early),0.11177844731248543,error
Low contrast (Late),0.8882420325311235,correct
Low contrast (Late),0.11175796746887645,error
High contrast (Early),0.999610912820626,correct
High contrast (Early),0.0003890871793740258,error
Low contrast (Early),0.7681404797714745,correct
Low contrast (Early),0.23185952022852552,error
Low contrast (Late),0.7681327580399739,correct
Low contrast (Late),0.23186724196002606,error
High contrast (Early),0.9992478448955985,correct
High contrast (Early),0.0007521551044015196,error
Low contrast (Early),0.9755100641708297,correct
Low contrast (Early),0.02448993582917025,error
Low contrast (Late),0.9751463319610918,correct
Low contrast (Late),0.024853668038908205,error
High contrast (Early),0.999801534501831,correct
High contrast (Early),0.00019846549816904258,error
Low contrast (Early),0.9879383634659223,correct
Low contrast (Early),0.012061636534077658,error
Low contrast (Late),0.9878688936856883,correct
Low contrast (Late),0.01213110631431169,error
High contrast (Early),0.9995859040181797,correct
High contrast (Early),0.00041409598182029494,error
Low contrast (Early),0.9762513077224416,correct
Low contrast (Early),0.02374869227755838,error
Low contrast (Late),0.9763304783332222,correct
Low contrast (Late),0.023669521666777826,error
High contrast (Early),0.9996743050646903,correct
High contrast (Early),0.00032569493530965055,error
Low contrast (Early),0.9764080009441364,correct
Low contrast (Early),0.02359199905586362,error
Low contrast (Late),0.9763839644491994,correct
Low contrast (Late),0.023616035550800607,error
High contrast (Early),0.999510294216718,correct
High contrast (Early),0.0004897057832820018,error
Low contrast (Early),0.9924395704272069,correct
Low contrast (Early),0.007560429572793126,error
Low contrast (Late),0.9927595560289952,correct
Low contrast (Late),0.007240443971004762,error
High contrast (Early),0.999794394902069,correct
High contrast (Early),0.00020560509793099424,error
Low contrast (Early),0.9780262314525427,correct
Low contrast (Early),0.02197376854745725,error
Low contrast (Late),0.9780681743173334,correct
Low contrast (Late),0.021931825682666606,error
High contrast (Early),0.9994265657972107,correct
High contrast (Early),0.0005734342027893247,error
Low contrast (Early),0.9758310334503082,correct
Low contrast (Early),0.024168966549691806,error
Low contrast (Late),0.9768774835484554,correct
Low contrast (Late),0.023122516451544617,error
High contrast (Early),0.999796910277307,correct
High contrast (Early),0.00020308972269300618,error
Low contrast (Early),0.9622223849636459,correct
Low contrast (Early),0.03777761503635413,error
Low contrast (Late),0.9638634064829799,correct
Low contrast (Late),0.036136593517020144,error
High contrast (Early),0.9997873637426794,correct
High contrast (Early),0.00021263625732059754,error
Low contrast (Early),0.9853432887581843,correct
Low contrast (Early),0.014656711241815668,error
Low contrast (Late),0.9852752276376608,correct
Low contrast (Late),0.014724772362339156,error
