condition,probability,response
High contrast (Early),0.9997098167428846,correct
High contrast (Early),0.00029018325711538395,error
Low contrast (Early),0.9461188954044973,correct
Low contrast (Early),0.05388110459550266,error
Low contrast (Late),0.8337489827497927,correct
Low contrast (Late),0.1662510172502073,error
High contrast (Early),0.9999395393048711,correct
High contrast (Early),6.04606951288833e-05,error
Low contrast (Early),0.951103688513459,correct
Low contrast (Early),0.048896311486541055,error
Low contrast (Late),0.8254045195468025,correct
Low contrast (Late),0.1745954804531975,error
High contrast (Early),0.9993266907295179,correct
High contrast (Early),0.0006733092704821475,error
Low contrast (Early),0.8384276993069036,correct
Low contrast (Early),0.16157230069309636,error
Low contrast (Late),0.4678945432007166,correct
Low contrast (Late),0.5321054567992833,error
High contrast (Early),0.9988043890168032,correct
High contrast (Early),0.0011956109831967598,error
Low contrast (Early),0.9396390408883488,correct
Low contrast (Early),0.06036095911165118,error
Low contrast (Late),0.7825271960145181,correct
Low contrast (Late),0.21747280398548186,error
High contrast (Early),0.9998568188218402,correct
High contrast (Early),0.00014318117815981246,error
Low contrast (Early),0.9982323539592699,correct
Low contrast (Early),0.0017676460407300976,error
Low contrast (Late),0.01395246199754716,correct
Low contrast (Late),0.9860475380024528,error
High contrast (Early),0.9998528217361026,correct
High contrast (Early),0.0001471782638974295,error
Low contrast (Early),0.98515785686768,correct
Low contrast (Early),0.014842143132320018,error
Low contrast (Late),0.9433124086522118,correct
Low contrast (Late),0.056687591347788224,error
High contrast (Early),0.9999680021344073,correct
High contrast (Early),3.199786559271445e-05,error
Low contrast (Early),0.9995831363570269,correct
Low contrast (Early),0.00041686364297310874,error
Low contrast (Late),0.4904035988539459,correct
Low contrast (Late),0.5095964011460541,error
High contrast (Early),0.9995059732635784,correct
High contrast (Early),0.0004940267364216266,error
Low contrast (Early),0.9963750680790022,correct
Low contrast (Early),0.003624931920997776,error
Low contrast (Late),0.8254416272784694,correct
Low contrast (Late),0.17455837272153063,error
High contrast (Early),0.999670768405828,correct
High contrast (Early),0.0003292315941719748,error
Low contrast (Early),0.9969093862476757,correct
Low contrast (Early),0.0030906137523243338,error
Low contrast (Late),0.8051323563621671,correct
Low contrast (Late),0.19486764363783293,error
High contrast (Early),0.9995727901328838,correct
High contrast (Early),0.00042720986711619613,error
Low contrast (Early),0.997952164299587,correct
Low contrast (Early),0.0020478357004130032,error
Low contrast (Late),0.9528741780376331,correct
Low contrast (Late),0.04712582196236692,error
High contrast (Early),0.9996800111285604,correct
High contrast (Early),0.00031998887143958044,error
Low contrast (Early),0.9867487997135949,correct
Low contrast (Early),0.01325120028640514,error
Low contrast (Late),0.9552732659433829,correct
Low contrast (Late),0.04472673405661709,error
High contrast (Early),0.9955423040060798,correct
High contrast (Early),0.004457695993920208,error
Low contrast (Early),0.997622454905988,correct
Low contrast (Early),0.0023775450940120013,error
Low contrast (Late),0.7634705227715426,correct
Low contrast (Late),0.2365294772284574,error
High contrast (Early),0.9999350900993331,correct
High contrast (Early),6.49099006668763e-05,error
Low contrast (Early),0.9918378463183845,correct
Low contrast (Early),0.008162153681615547,error
Low contrast (Late),0.8125697080105586,correct
Low contrast (Late),0.1874302919894414,error
High contrast (Early),0.9998823118087695,correct
High contrast (Early),0.00011768819123048058,error
Low contrast (Early),0.998392248675196,correct
Low contrast (Early),0.0016077513248039521,error
Low contrast (Late),0.8435053855873039,correct
Low contrast (Late),0.15649461441269608,error
