production,sense,feature,categorical,visual,predicate
apple.n.01,balloon.n.02,categorical,-0.49,-0.77,-0.67
comb.n.01,centipede.n.01,categorical,-0.49,-0.7,-0.83
cow.n.01,ant.n.01,categorical,-0.39,-1.26,-0.59
kitten.n.01,gorilla.n.01,categorical,-0.09,-1.91,-0.73
kitten.n.01,horse.n.01,categorical,0.0,-1.26,-0.71
octopus.n.02,porcupine.n.01,categorical,0.0,-1.18,-0.61
cat.n.01,lamb.n.01,categorical,0.1,-0.32,-0.25
kitten.n.01,skunk.n.04,categorical,0.1,-0.21,-0.36
fish.n.01,bee.n.01,categorical,0.21,-0.37,-0.79
fish.n.01,butterfly.n.01,categorical,0.21,-0.19,-0.43
fish.n.01,mosquito.n.01,categorical,0.21,-0.21,-0.72
fly.n.01,frog.n.01,categorical,0.21,-0.99,-0.72
cow.n.01,fish.n.01,categorical,0.26,-0.48,-0.74
fish.n.01,spider.n.01,categorical,0.33,-0.66,-0.47
bird.n.01,cow.n.01,categorical,0.36,-0.55,-0.72
cow.n.01,kangaroo.n.01,categorical,0.37,-0.02,-0.61
cow.n.01,gorilla.n.01,categorical,0.37,-1.01,-0.7
airplane.n.01,train.n.01,categorical,0.46,-0.84,0.42
cat.n.01,chicken.n.02,categorical,0.46,-0.62,-0.54
cow.n.01,leopard.n.02,categorical,0.46,-2.06,-0.08
cow.n.01,lion.n.01,categorical,0.46,-0.14,-0.39
duck.n.01,platypus.n.01,categorical,0.46,0.31,0.42
cow.n.01,ice_bear.n.01,categorical,0.55,-0.74,-0.72
cow.n.01,seal.n.09,categorical,0.55,0.07,-0.54
airplane.n.01,submarine.n.01,categorical,0.57,-0.01,-0.41
dog.n.01,turtle.n.02,categorical,0.57,-0.43,-0.17
cow.n.01,bear.n.01,categorical,0.64,0.24,-0.43
cow.n.01,elephant.n.01,categorical,0.64,0.4,-0.47
horse.n.01,kangaroo.n.01,categorical,0.66,0.41,-0.52
cow.n.01,zebra.n.01,categorical,0.72,-0.87,0.22
horse.n.01,jaguar.n.01,categorical,0.74,-1.73,-0.48
car.n.01,cassette.n.01,categorical,0.76,-0.9,-0.71
apple.n.01,pumpkin.n.02,categorical,0.81,0.72,0.67
bird.n.01,cat.n.01,categorical,0.81,0.01,-0.72
dog.n.01,fish.n.01,categorical,0.81,0.49,-0.6
dog.n.01,frog.n.01,categorical,0.81,-0.16,0.32
cat.n.01,giraffe.n.01,categorical,0.85,-0.7,0.09
cat.n.01,horse.n.01,categorical,0.85,-0.64,-0.65
cat.n.01,hog.n.03,categorical,0.85,-0.01,-0.45
dog.n.01,giraffe.n.01,categorical,0.85,0.46,-0.29
horse.n.01,fox.n.01,categorical,0.85,-1.16,-0.22
horse.n.01,hyena.n.01,categorical,0.85,-0.7,-0.47
flower.n.01,tree.n.01,categorical,0.86,0.63,0.16
juice.n.01,water.n.06,categorical,0.89,0.29,0.2
airplane.n.01,boat.n.01,categorical,0.95,0.43,0.36
banana.n.02,raisin.n.01,categorical,0.95,-0.25,0.05
banana.n.02,strawberry.n.01,categorical,0.95,-1.05,0.69
bird.n.01,dog.n.01,categorical,0.95,0.48,-0.75
boat.n.01,airship.n.01,categorical,0.95,0.05,-0.37
cat.n.01,camel.n.01,categorical,0.96,-1.04,-0.7
dog.n.01,hippopotamus.n.01,categorical,0.96,0.11,-0.55
dog.n.01,rabbit.n.01,categorical,0.96,0.42,0.61
dog.n.01,rhinoceros.n.01,categorical,0.96,0.2,-0.41
horse.n.01,giraffe.n.01,categorical,1.03,0.98,-0.34
kitty.n.04,fox.n.01,categorical,1.03,-0.23,0.09
kitty.n.04,raccoon.n.02,categorical,1.03,0.5,-0.01
kitty.n.04,skunk.n.04,categorical,1.03,-0.23,-0.34
cow.n.01,hippopotamus.n.01,categorical,1.08,0.07,-0.06
bear.n.01,rabbit.n.01,categorical,1.09,-0.44,0.26
bear.n.01,seal.n.09,categorical,1.09,0.97,0.09
dog.n.01,squirrel.n.01,categorical,1.09,-0.48,0.55
squirrel.n.01,ice_bear.n.01,categorical,1.09,-1.73,-0.29
squirrel.n.01,skunk.n.04,categorical,1.09,-1.11,0.34
banana.n.02,peach.n.03,categorical,1.1,0.39,0.44
banana.n.02,pear.n.01,categorical,1.1,1.05,0.81
bottle.n.01,cup.n.01,categorical,1.13,0.58,1.09
cat.n.01,coyote.n.01,categorical,1.14,-0.71,0.9
dog.n.01,lion.n.01,categorical,1.14,-0.29,0.2
horse.n.01,llama.n.01,categorical,1.14,1.13,-0.11
truck.n.01,bulldozer.n.01,categorical,1.17,1.03,0.23
dog.n.01,doe.n.02,categorical,1.22,0.61,-0.7
clock.n.01,meter.n.02,categorical,1.27,1.17,-0.34
dog.n.01,raccoon.n.02,categorical,1.27,0.16,-0.02
bee.n.01,bug.n.01,categorical,1.32,0.96,0.4
cat.n.01,bear.n.01,categorical,1.4,-0.57,0.91
dog.n.01,bear.n.01,categorical,1.4,1.09,0.25
cat.n.01,lion.n.01,categorical,1.44,-0.84,0.89
kitten.n.01,lamb.n.01,categorical,1.45,-0.55,0.18
sock.n.01,stocking.n.01,categorical,1.49,0.37,1.09
