group,probability,response,synset,top posts,top prods
early,0.7772104469460897,correct,airplane.n.01,"[0.78, 0.06, 0.02, 0.01, 0.01]","['airplane.n.01', 'car.n.01', 'helicopter.n.01', 'truck.n.01', 'boat.n.01']"
early,0.6719443270958825,correct,apple.n.01,"[0.67, 0.06, 0.04, 0.03, 0.03]","['apple.n.01', 'orange.n.01', 'grape.n.01', 'fruit.n.01', 'juice.n.01']"
early,0.5419143626680153,correct,bicycle.n.01,"[0.54, 0.13, 0.1, 0.09, 0.02]","['bicycle.n.01', 'wheel.n.01', 'motorcycle.n.01', 'car.n.01', 'truck.n.01']"
early,0.6745871624737337,correct,boat.n.01,"[0.67, 0.05, 0.03, 0.02, 0.01]","['boat.n.01', 'car.n.01', 'toy.n.03', 'airplane.n.01', 'ball.n.01']"
early,0.8623902316946109,correct,car.n.01,"[0.86, 0.05, 0.01, 0.01, 0.01]","['car.n.01', 'truck.n.01', 'motorcycle.n.01', 'bicycle.n.01', 'bus.n.01']"
early,0.525096063066557,correct,carrot.n.01,"[0.53, 0.08, 0.06, 0.04, 0.02]","['carrot.n.01', 'pea.n.02', 'apple.n.01', 'orange.n.01', 'fruit.n.01']"
early,0.7990628692524193,correct,cat.n.01,"[0.33, 0.31, 0.16, 0.06, 0.04]","['kitty.n.04', 'cat.n.01', 'kitten.n.01', 'dog.n.01', 'puppy.n.01']"
early,0.8530881388469334,correct,cow.n.01,"[0.85, 0.03, 0.02, 0.02, 0.02]","['cow.n.01', 'hog.n.03', 'sheep.n.01', 'horse.n.01', 'animal.n.01']"
early,0.7238724574497581,correct,dog.n.01,"[0.66, 0.07, 0.05, 0.05, 0.04]","['dog.n.01', 'puppy.n.01', 'animal.n.01', 'cat.n.01', 'kitten.n.01']"
early,0.4509190651000235,correct,dress.n.01,"[0.45, 0.11, 0.04, 0.03, 0.02]","['dress.n.01', 'shirt.n.01', 'hat.n.01', 'girl.n.01', 'doll.n.01']"
early,0.8315786157453493,correct,egg.n.02,"[0.83, 0.02, 0.02, 0.01, 0.01]","['egg.n.02', 'breakfast.n.01', 'cheese.n.01', 'food.n.01', 'juice.n.01']"
early,0.7480452277544907,correct,hog.n.03,"[0.75, 0.05, 0.03, 0.03, 0.01]","['hog.n.03', 'cow.n.01', 'baby.n.01', 'animal.n.01', 'dog.n.01']"
early,0.48928850392486833,correct,orange.n.01,"[0.49, 0.2, 0.05, 0.04, 0.03]","['orange.n.01', 'apple.n.01', 'fruit.n.01', 'juice.n.01', 'banana.n.02']"
early,0.5880594581276624,correct,shirt.n.01,"[0.59, 0.04, 0.03, 0.03, 0.03]","['shirt.n.01', 'trouser.n.01', 'jacket.n.01', 'short_pants.n.01', 'hat.n.01']"
early,0.7814448396190963,correct,train.n.01,"[0.78, 0.06, 0.04, 0.02, 0.01]","['train.n.01', 'car.n.01', 'bus.n.01', 'truck.n.01', 'bicycle.n.01']"
early,0.5157669355153891,correct,trouser.n.01,"[0.52, 0.15, 0.03, 0.01, 0.01]","['trouser.n.01', 'shirt.n.01', 'short_pants.n.01', 'shoe.n.01', 'diaper.n.01']"
early,0.22278955305391035,incorrect,airplane.n.01,"[0.78, 0.06, 0.02, 0.01, 0.01]","['airplane.n.01', 'car.n.01', 'helicopter.n.01', 'truck.n.01', 'boat.n.01']"
early,0.3280556729041175,incorrect,apple.n.01,"[0.67, 0.06, 0.04, 0.03, 0.03]","['apple.n.01', 'orange.n.01', 'grape.n.01', 'fruit.n.01', 'juice.n.01']"
early,0.4580856373319847,incorrect,bicycle.n.01,"[0.54, 0.13, 0.1, 0.09, 0.02]","['bicycle.n.01', 'wheel.n.01', 'motorcycle.n.01', 'car.n.01', 'truck.n.01']"
early,0.32541283752626626,incorrect,boat.n.01,"[0.67, 0.05, 0.03, 0.02, 0.01]","['boat.n.01', 'car.n.01', 'toy.n.03', 'airplane.n.01', 'ball.n.01']"
early,0.13760976830538907,incorrect,car.n.01,"[0.86, 0.05, 0.01, 0.01, 0.01]","['car.n.01', 'truck.n.01', 'motorcycle.n.01', 'bicycle.n.01', 'bus.n.01']"
early,0.474903936933443,incorrect,carrot.n.01,"[0.53, 0.08, 0.06, 0.04, 0.02]","['carrot.n.01', 'pea.n.02', 'apple.n.01', 'orange.n.01', 'fruit.n.01']"
early,0.20093713074758068,incorrect,cat.n.01,"[0.33, 0.31, 0.16, 0.06, 0.04]","['kitty.n.04', 'cat.n.01', 'kitten.n.01', 'dog.n.01', 'puppy.n.01']"
early,0.14691186115306665,incorrect,cow.n.01,"[0.85, 0.03, 0.02, 0.02, 0.02]","['cow.n.01', 'hog.n.03', 'sheep.n.01', 'horse.n.01', 'animal.n.01']"
early,0.27612754255024186,incorrect,dog.n.01,"[0.66, 0.07, 0.05, 0.05, 0.04]","['dog.n.01', 'puppy.n.01', 'animal.n.01', 'cat.n.01', 'kitten.n.01']"
early,0.5490809348999766,incorrect,dress.n.01,"[0.45, 0.11, 0.04, 0.03, 0.02]","['dress.n.01', 'shirt.n.01', 'hat.n.01', 'girl.n.01', 'doll.n.01']"
early,0.1684213842546507,incorrect,egg.n.02,"[0.83, 0.02, 0.02, 0.01, 0.01]","['egg.n.02', 'breakfast.n.01', 'cheese.n.01', 'food.n.01', 'juice.n.01']"
early,0.25195477224550933,incorrect,hog.n.03,"[0.75, 0.05, 0.03, 0.03, 0.01]","['hog.n.03', 'cow.n.01', 'baby.n.01', 'animal.n.01', 'dog.n.01']"
early,0.5107114960751317,incorrect,orange.n.01,"[0.49, 0.2, 0.05, 0.04, 0.03]","['orange.n.01', 'apple.n.01', 'fruit.n.01', 'juice.n.01', 'banana.n.02']"
early,0.41194054187233764,incorrect,shirt.n.01,"[0.59, 0.04, 0.03, 0.03, 0.03]","['shirt.n.01', 'trouser.n.01', 'jacket.n.01', 'short_pants.n.01', 'hat.n.01']"
early,0.21855516038090372,incorrect,train.n.01,"[0.78, 0.06, 0.04, 0.02, 0.01]","['train.n.01', 'car.n.01', 'bus.n.01', 'truck.n.01', 'bicycle.n.01']"
early,0.4842330644846109,incorrect,trouser.n.01,"[0.52, 0.15, 0.03, 0.01, 0.01]","['trouser.n.01', 'shirt.n.01', 'short_pants.n.01', 'shoe.n.01', 'diaper.n.01']"
late,0.4320972863291121,correct,beet.n.02,"[0.43, 0.16, 0.06, 0.05, 0.03]","['beet.n.02', 'carrot.n.03', 'apple.n.01', 'potato.n.01', 'bean.n.01']"
