group,probability,response,synset,top posts,top prods
early,0.8001321989906577,correct,airplane.n.01,"[0.8, 0.06, 0.02, 0.01, 0.01]","['airplane.n.01', 'car.n.01', 'helicopter.n.01', 'truck.n.01', 'boat.n.01']"
early,0.6911981624701039,correct,apple.n.01,"[0.69, 0.06, 0.04, 0.03, 0.02]","['apple.n.01', 'orange.n.01', 'grape.n.01', 'fruit.n.01', 'banana.n.02']"
early,0.5590531720444769,correct,bicycle.n.01,"[0.56, 0.13, 0.11, 0.08, 0.01]","['bicycle.n.01', 'wheel.n.01', 'motorcycle.n.01', 'car.n.01', 'truck.n.01']"
early,0.70783564862593,correct,boat.n.01,"[0.71, 0.04, 0.03, 0.01, 0.01]","['boat.n.01', 'car.n.01', 'toy.n.03', 'airplane.n.01', 'box.n.01']"
early,0.8723193892274691,correct,car.n.01,"[0.87, 0.05, 0.01, 0.01, 0.01]","['car.n.01', 'truck.n.01', 'motorcycle.n.01', 'bicycle.n.01', 'bus.n.01']"
early,0.5553348088669826,correct,carrot.n.01,"[0.56, 0.08, 0.06, 0.04, 0.02]","['carrot.n.01', 'pea.n.02', 'apple.n.01', 'orange.n.01', 'fruit.n.01']"
early,0.8101548122520894,correct,cat.n.01,"[0.34, 0.32, 0.15, 0.06, 0.04]","['kitty.n.04', 'cat.n.01', 'kitten.n.01', 'dog.n.01', 'puppy.n.01']"
early,0.8675341455950993,correct,cow.n.01,"[0.87, 0.03, 0.02, 0.02, 0.01]","['cow.n.01', 'hog.n.03', 'sheep.n.01', 'horse.n.01', 'animal.n.01']"
early,0.7432693970698212,correct,dog.n.01,"[0.68, 0.07, 0.04, 0.04, 0.03]","['dog.n.01', 'puppy.n.01', 'animal.n.01', 'cat.n.01', 'kitten.n.01']"
early,0.4828700162235633,correct,dress.n.01,"[0.48, 0.12, 0.03, 0.03, 0.02]","['dress.n.01', 'shirt.n.01', 'hat.n.01', 'girl.n.01', 'doll.n.01']"
early,0.8473719615497569,correct,egg.n.02,"[0.85, 0.02, 0.01, 0.01, 0.01]","['egg.n.02', 'breakfast.n.01', 'cheese.n.01', 'food.n.01', 'juice.n.01']"
early,0.7714945362401159,correct,hog.n.03,"[0.77, 0.04, 0.03, 0.03, 0.01]","['hog.n.03', 'cow.n.01', 'baby.n.01', 'animal.n.01', 'dog.n.01']"
early,0.5085254173123827,correct,orange.n.01,"[0.51, 0.2, 0.05, 0.04, 0.03]","['orange.n.01', 'apple.n.01', 'fruit.n.01', 'juice.n.01', 'banana.n.02']"
early,0.612165494659885,correct,shirt.n.01,"[0.61, 0.04, 0.03, 0.03, 0.03]","['shirt.n.01', 'trouser.n.01', 'jacket.n.01', 'short_pants.n.01', 'sweater.n.01']"
early,0.8010990160064783,correct,train.n.01,"[0.8, 0.06, 0.04, 0.01, 0.01]","['train.n.01', 'car.n.01', 'bus.n.01', 'truck.n.01', 'bicycle.n.01']"
