group,probability,response,synset,top posts,top prods
early,0.6936811320664058,correct,airplane.n.01,"[0.69, 0.11, 0.01, 0.01, 0.01]","['airplane.n.01', 'helicopter.n.01', 'car.n.01', 'boat.n.01', 'rocket.n.01']"
early,0.3619909606935563,correct,apple.n.01,"[0.36, 0.08, 0.07, 0.07, 0.04]","['apple.n.01', 'fruit.n.01', 'orange.n.01', 'grape.n.01', 'plum.n.02']"
early,0.37277535788863414,correct,bicycle.n.01,"[0.37, 0.18, 0.13, 0.12, 0.02]","['bicycle.n.01', 'motorcycle.n.01', 'tricycle.n.01', 'wheel.n.01', 'baby_buggy.n.01']"
early,0.720358136751002,correct,boat.n.01,"[0.72, 0.01, 0.01, 0.01, 0.01]","['boat.n.01', 'airplane.n.01', 'car.n.01', 'helicopter.n.01', 'rocket.n.01']"
early,0.5278425279356068,correct,car.n.01,"[0.53, 0.08, 0.07, 0.03, 0.03]","['car.n.01', 'motorcycle.n.01', 'truck.n.01', 'bus.n.01', 'baby_buggy.n.01']"
early,0.5620971520199395,correct,carrot.n.01,"[0.56, 0.05, 0.04, 0.03, 0.03]","['carrot.n.01', 'pea.n.02', 'fruit.n.01', 'orange.n.01', 'carrot.n.03']"
early,0.6820610116572923,correct,cat.n.01,"[0.37, 0.22, 0.09, 0.08, 0.05]","['cat.n.01', 'kitty.n.04', 'kitten.n.01', 'puppy.n.01', 'dog.n.01']"
early,0.7171228226388578,correct,cow.n.01,"[0.72, 0.05, 0.03, 0.02, 0.02]","['cow.n.01', 'sheep.n.01', 'hog.n.03', 'elk.n.01', 'horse.n.01']"
early,0.59501130749279,correct,dog.n.01,"[0.45, 0.14, 0.06, 0.03, 0.02]","['dog.n.01', 'puppy.n.01', 'cat.n.01', 'animal.n.01', 'kitty.n.04']"
early,0.542663821423506,correct,dress.n.01,"[0.54, 0.06, 0.03, 0.03, 0.02]","['dress.n.01', 'shirt.n.01', 'vest.n.01', 'short_pants.n.01', 'underpants.n.01']"
early,0.5656868827677146,correct,egg.n.02,"[0.57, 0.05, 0.03, 0.02, 0.02]","['egg.n.02', 'breakfast.n.01', 'toast.n.01', 'butter.n.01', 'cheese.n.01']"
