group,probability,response,synset,top posts,top prods
early,0.6966486488744702,correct,airplane.n.01,"[0.7, 0.11, 0.01, 0.01, 0.01]","['airplane.n.01', 'helicopter.n.01', 'car.n.01', 'boat.n.01', 'rocket.n.01']"
early,0.36416828146968205,correct,apple.n.01,"[0.36, 0.08, 0.07, 0.07, 0.04]","['apple.n.01', 'fruit.n.01', 'orange.n.01', 'grape.n.01', 'plum.n.02']"
early,0.37443672106356396,correct,bicycle.n.01,"[0.37, 0.18, 0.13, 0.12, 0.02]","['bicycle.n.01', 'motorcycle.n.01', 'tricycle.n.01', 'wheel.n.01', 'baby_buggy.n.01']"
early,0.7241569160104513,correct,boat.n.01,"[0.72, 0.01, 0.01, 0.01, 0.01]","['boat.n.01', 'airplane.n.01', 'car.n.01', 'helicopter.n.01', 'rocket.n.01']"
early,0.5307137161742514,correct,car.n.01,"[0.53, 0.08, 0.07, 0.03, 0.03]","['car.n.01', 'motorcycle.n.01', 'truck.n.01', 'bus.n.01', 'baby_buggy.n.01']"
early,0.5655360995212236,correct,carrot.n.01,"[0.57, 0.05, 0.04, 0.03, 0.03]","['carrot.n.01', 'pea.n.02', 'fruit.n.01', 'orange.n.01', 'carrot.n.03']"
early,0.6842126796747849,correct,cat.n.01,"[0.37, 0.22, 0.09, 0.08, 0.05]","['cat.n.01', 'kitty.n.04', 'kitten.n.01', 'puppy.n.01', 'dog.n.01']"
early,0.7201055152366548,correct,cow.n.01,"[0.72, 0.05, 0.03, 0.02, 0.02]","['cow.n.01', 'sheep.n.01', 'hog.n.03', 'elk.n.01', 'horse.n.01']"
early,0.5981783032997934,correct,dog.n.01,"[0.45, 0.14, 0.06, 0.02, 0.02]","['dog.n.01', 'puppy.n.01', 'cat.n.01', 'animal.n.01', 'kitty.n.04']"
early,0.5460119836225651,correct,dress.n.01,"[0.55, 0.06, 0.03, 0.03, 0.02]","['dress.n.01', 'shirt.n.01', 'vest.n.01', 'short_pants.n.01', 'underpants.n.01']"
early,0.569067865582949,correct,egg.n.02,"[0.57, 0.05, 0.03, 0.02, 0.02]","['egg.n.02', 'breakfast.n.01', 'toast.n.01', 'butter.n.01', 'cheese.n.01']"
early,0.6893484644239142,correct,hog.n.03,"[0.69, 0.03, 0.02, 0.01, 0.01]","['hog.n.03', 'cow.n.01', 'hippopotamus.n.01', 'animal.n.01', 'sheep.n.01']"
early,0.43289802638139463,correct,orange.n.01,"[0.43, 0.1, 0.08, 0.05, 0.04]","['orange.n.01', 'fruit.n.01', 'apple.n.01', 'melon.n.01', 'grape.n.01']"
early,0.3054175942970344,correct,shirt.n.01,"[0.31, 0.1, 0.08, 0.08, 0.07]","['shirt.n.01', 'vest.n.01', 'jean.n.01', 'sweater.n.01', 'short_pants.n.01']"
early,0.7004902434269008,correct,train.n.01,"[0.7, 0.08, 0.02, 0.01, 0.01]","['train.n.01', 'bus.n.01', 'car.n.01', 'baby_buggy.n.01', 'bicycle.n.01']"
early,0.4799405173932676,correct,trouser.n.01,"[0.48, 0.1, 0.07, 0.05, 0.02]","['trouser.n.01', 'jean.n.01', 'shirt.n.01', 'short_pants.n.01', 'sweater.n.01']"
early,0.3033513511255298,incorrect,airplane.n.01,"[0.7, 0.11, 0.01, 0.01, 0.01]","['airplane.n.01', 'helicopter.n.01', 'car.n.01', 'boat.n.01', 'rocket.n.01']"
early,0.635831718530318,incorrect,apple.n.01,"[0.36, 0.08, 0.07, 0.07, 0.04]","['apple.n.01', 'fruit.n.01', 'orange.n.01', 'grape.n.01', 'plum.n.02']"
early,0.625563278936436,incorrect,bicycle.n.01,"[0.37, 0.18, 0.13, 0.12, 0.02]","['bicycle.n.01', 'motorcycle.n.01', 'tricycle.n.01', 'wheel.n.01', 'baby_buggy.n.01']"
early,0.2758430839895487,incorrect,boat.n.01,"[0.72, 0.01, 0.01, 0.01, 0.01]","['boat.n.01', 'airplane.n.01', 'car.n.01', 'helicopter.n.01', 'rocket.n.01']"
early,0.46928628382574855,incorrect,car.n.01,"[0.53, 0.08, 0.07, 0.03, 0.03]","['car.n.01', 'motorcycle.n.01', 'truck.n.01', 'bus.n.01', 'baby_buggy.n.01']"
early,0.43446390047877637,incorrect,carrot.n.01,"[0.57, 0.05, 0.04, 0.03, 0.03]","['carrot.n.01', 'pea.n.02', 'fruit.n.01', 'orange.n.01', 'carrot.n.03']"
early,0.31578732032521506,incorrect,cat.n.01,"[0.37, 0.22, 0.09, 0.08, 0.05]","['cat.n.01', 'kitty.n.04', 'kitten.n.01', 'puppy.n.01', 'dog.n.01']"
early,0.2798944847633452,incorrect,cow.n.01,"[0.72, 0.05, 0.03, 0.02, 0.02]","['cow.n.01', 'sheep.n.01', 'hog.n.03', 'elk.n.01', 'horse.n.01']"
