production,referent,1,2,3,4,5
apple.n.01,cherry.n.03,apple.n.01,fruit.n.01,banana.n.02,orange.n.01,grape.n.01
horse.n.01,deer.n.01,elk.n.01,animal.n.01,sheep.n.01,cow.n.01,horse.n.01
flower.n.01,tree.n.01,animal.n.01,baby.n.01,flower.n.01,grass.n.01,plant.n.02
sock.n.01,stocking.n.01,shoe.n.01,sock.n.01,hat.n.01,shirt.n.01,chair.n.01
dad.n.01,ma.n.01,dad.n.01,mother.n.01,son.n.01,baby.n.01,child.n.01
bicycle.n.01,scooter.n.02,car.n.01,bicycle.n.01,motorcycle.n.01,truck.n.01,toy.n.03
sock.n.01,tights.n.01,shoe.n.01,shirt.n.01,sock.n.01,hat.n.01,baby.n.01
ball.n.01,ellipse.n.01,block.n.03,egg.n.02,ball.n.01,box.n.01,chocolate.n.03
clock.n.01,timer.n.01,clock.n.01,watch.n.01,box.n.01,ball.n.01,toy.n.03
duck.n.01,swan.n.01,duck.n.01,bird.n.01,goose.n.01,fish.n.01,animal.n.01
kitten.n.01,horse.n.01,domestic_ass.n.01,pony.n.01,cow.n.01,animal.n.01,hog.n.03
cow.n.01,elephant.n.01,animal.n.01,bear.n.01,dog.n.01,hog.n.03,baby.n.01
cat.n.01,horse.n.01,domestic_ass.n.01,pony.n.01,cow.n.01,animal.n.01,hog.n.03
ball.n.01,orange.n.01,apple.n.01,fruit.n.01,juice.n.01,banana.n.02,grape.n.01
horse.n.01,dog.n.01,puppy.n.01,animal.n.01,cat.n.01,kitten.n.01,kitty.n.04
horse.n.01,jaguar.n.01,tiger.n.02,animal.n.01,lion.n.01,bear.n.01,cat.n.01
bubble.n.01,egg.n.02,breakfast.n.01,cheese.n.01,food.n.01,juice.n.01,milk.n.01
horse.n.01,caribou.n.01,elk.n.01,deer.n.01,animal.n.01,cow.n.01,sheep.n.01
cat.n.01,lamb.n.01,sheep.n.01,animal.n.01,kitten.n.01,baby.n.01,dog.n.01
banana.n.02,strawberry.n.01,apple.n.01,fruit.n.01,grape.n.01,orange.n.01,ice_cream.n.01
